Cadastro de produtos - 03/02/2026 11:25

Codigo;Produto;Quantidade;Valor
20000663; BONÉ 6 PANEL DC MARINHO \ MARINHO;0;50
20000907; CAMISA FLUMINENSE TRADICINAL 2025 M;1;70
25000667;ADIDAS ADIZERO SL2 CINZA \ LARANJA 38;1;120
25000668;ADIDAS ADIZERO SL2 CINZA \ LARANJA 39;2;120
25000669;ADIDAS ADIZERO SL2 CINZA \ LARANJA 40;1;120
25000670;ADIDAS ADIZERO SL2 CINZA \ LARANJA 41;1;120
25000671;ADIDAS ADIZERO SL2 CINZA \ LARANJA 42;0;120
25000672;ADIDAS ADIZERO SL2 CINZA \ LARANJA 43;1;120
22000170;ADIDAS ADIZERO SL2 CINZA \ ROSA 34;1;120
22000171;ADIDAS ADIZERO SL2 CINZA \ ROSA 35;0;120
22000172;ADIDAS ADIZERO SL2 CINZA \ ROSA 36;0;120
22000173;ADIDAS ADIZERO SL2 CINZA \ ROSA 37;0;120
22000174;ADIDAS ADIZERO SL2 CINZA \ ROSA 38;2;120
22000175;ADIDAS ADIZERO SL2 CINZA \ ROSA 39;1;120
25000673;ADIDAS ADIZERO SL2 PRETO \ BRANCO 38;1;120
25000674;ADIDAS ADIZERO SL2 PRETO \ BRANCO 39;3;120
25000675;ADIDAS ADIZERO SL2 PRETO \ BRANCO 40;3;120
25000676;ADIDAS ADIZERO SL2 PRETO \ BRANCO 41;0;120
25000677;ADIDAS ADIZERO SL2 PRETO \ BRANCO 42;0;120
25000678;ADIDAS ADIZERO SL2 PRETO \ BRANCO 43;0;120
25000679;ADIDAS ADIZERO SL2 PRETO \ LARANJA 38;1;120
25000680;ADIDAS ADIZERO SL2 PRETO \ LARANJA 39;2;120
25000681;ADIDAS ADIZERO SL2 PRETO \ LARANJA 40;1;120
25000682;ADIDAS ADIZERO SL2 PRETO \ LARANJA 41;0;120
25000683;ADIDAS ADIZERO SL2 PRETO \ LARANJA 42;2;120
25000684;ADIDAS ADIZERO SL2 PRETO \ LARANJA 43;0;120
25000685;ADIDAS ADIZERO SL2 PRETO \ ROSA 34;0;120
25000686;ADIDAS ADIZERO SL2 PRETO \ ROSA 35;1;120
25000687;ADIDAS ADIZERO SL2 PRETO \ ROSA 36;0;120
25000688;ADIDAS ADIZERO SL2 PRETO \ ROSA 37;2;120
25000689;ADIDAS ADIZERO SL2 PRETO \ ROSA 38;1;120
25000690;ADIDAS ADIZERO SL2 PRETO \ ROSA 39;0;120
22000572;ADIDAS FORUM LOW PTO \ BCO 34;0;130
22000573;ADIDAS FORUM LOW PTO \ BCO 35;2;130
22000574;ADIDAS FORUM LOW PTO \ BCO 36;5;130
22000575;ADIDAS FORUM LOW PTO \ BCO 37;0;130
22000576;ADIDAS FORUM LOW PTO \ BCO 38;0;130
22000577;ADIDAS FORUM LOW PTO \ BCO 39;0;130
22000578;ADIDAS FORUM LOW PTO \ BCO 40;0;130
22000579;ADIDAS FORUM LOW PTO \ BCO 41;0;130
22000580;ADIDAS FORUM LOW PTO \ BCO 42;0;130
22000581;ADIDAS FORUM LOW PTO \ BCO 43;-1;130
22000877;ADIDAS GOOD SPORT CINZA \ ROSA  34;0;130
22000878;ADIDAS GOOD SPORT CINZA \ ROSA  35;2;130
22000879;ADIDAS GOOD SPORT CINZA \ ROSA  36;0;130
22000880;ADIDAS GOOD SPORT CINZA \ ROSA  37;0;130
22000881;ADIDAS GOOD SPORT CINZA \ ROSA  38;0;130
22000882;ADIDAS GOOD SPORT CINZA \ ROSA  39;1;130
23000084;ADIDAS GOOD SPORT CINZA \ VERDE AGUÁ  34;1;130
23000085;ADIDAS GOOD SPORT CINZA \ VERDE AGUÁ  35;1;130
23000086;ADIDAS GOOD SPORT CINZA \ VERDE AGUÁ  36;0;130
23000087;ADIDAS GOOD SPORT CINZA \ VERDE AGUÁ  37;1;130
23000088;ADIDAS GOOD SPORT CINZA \ VERDE AGUÁ  38;0;130
23000089;ADIDAS GOOD SPORT CINZA \ VERDE AGUÁ  39;0;130
23000078;ADIDAS GOOD SPORT MARINHO \ ROSA 34;1;130
23000079;ADIDAS GOOD SPORT MARINHO \ ROSA 35;0;130
23000080;ADIDAS GOOD SPORT MARINHO \ ROSA 36;0;130
23000081;ADIDAS GOOD SPORT MARINHO \ ROSA 37;0;130
23000082;ADIDAS GOOD SPORT MARINHO \ ROSA 38;0;130
23000083;ADIDAS GOOD SPORT MARINHO \ ROSA 39;0;130
22000865;ADIDAS GOOD SPORT NUDE 34;1;130
22000866;ADIDAS GOOD SPORT NUDE 35;2;130
22000867;ADIDAS GOOD SPORT NUDE 36;-1;130
22000868;ADIDAS GOOD SPORT NUDE 37;2;130
22000869;ADIDAS GOOD SPORT NUDE 38;2;130
22000870;ADIDAS GOOD SPORT NUDE 39;1;130
21000726;ADIDAS GOOD SPORT PRETO \ PRETO 34;1;130
21000727;ADIDAS GOOD SPORT PRETO \ PRETO 35;1;130
21000728;ADIDAS GOOD SPORT PRETO \ PRETO 36;2;130
21000729;ADIDAS GOOD SPORT PRETO \ PRETO 37;0;130
21000730;ADIDAS GOOD SPORT PRETO \ PRETO 38;1;130
21000731;ADIDAS GOOD SPORT PRETO \ PRETO 39;0;130
21000732;ADIDAS GOOD SPORT PRETO \ PRETO 40;2;130
21000733;ADIDAS GOOD SPORT PRETO \ PRETO 41;1;130
21000734;ADIDAS GOOD SPORT PRETO \ PRETO 42;0;130
21000735;ADIDAS GOOD SPORT PRETO \ PRETO 43;0;130
22000871;ADIDAS GOOD SPORT PRETO \ ROSA  34;0;130
22000872;ADIDAS GOOD SPORT PRETO \ ROSA  35;0;130
22000873;ADIDAS GOOD SPORT PRETO \ ROSA  36;1;130
22000874;ADIDAS GOOD SPORT PRETO \ ROSA  37;1;130
22000875;ADIDAS GOOD SPORT PRETO \ ROSA  38;0;130
22000876;ADIDAS GOOD SPORT PRETO \ ROSA  39;0;130
22000855;ADIDAS GOOD SPORT PTO\ BCO 34;2;130
22000856;ADIDAS GOOD SPORT PTO\ BCO 35;2;130
22000857;ADIDAS GOOD SPORT PTO\ BCO 36;0;130
22000858;ADIDAS GOOD SPORT PTO\ BCO 37;0;130
22000859;ADIDAS GOOD SPORT PTO\ BCO 38;2;130
22000860;ADIDAS GOOD SPORT PTO\ BCO 39;2;130
22000861;ADIDAS GOOD SPORT PTO\ BCO 40;0;130
22000862;ADIDAS GOOD SPORT PTO\ BCO 41;2;130
22000863;ADIDAS GOOD SPORT PTO\ BCO 42;0;130
22000864;ADIDAS GOOD SPORT PTO\ BCO 43;1;130
20000498;ADIDAS KINITE CINZA \ ROSA 36;-1;120
25000341;ADIDAS PREMIUM CAMPUS AREIA \ BRANCO 34;1;220
25000342;ADIDAS PREMIUM CAMPUS AREIA \ BRANCO 35;1;220
25000343;ADIDAS PREMIUM CAMPUS AREIA \ BRANCO 36;1;220
25000344;ADIDAS PREMIUM CAMPUS AREIA \ BRANCO 37;0;220
25000345;ADIDAS PREMIUM CAMPUS AREIA \ BRANCO 38;1;220
25000346;ADIDAS PREMIUM CAMPUS AREIA \ BRANCO 39;2;220
25000347;ADIDAS PREMIUM CAMPUS AREIA \ BRANCO 40;1;220
25000348;ADIDAS PREMIUM CAMPUS AREIA \ BRANCO 41;2;220
